Year,State,FlaxseedArea
1991,MINNESOTA,35000
1991,NORTH DAKOTA,280000
1991,OTHER STATES,6000
1991,SOUTH DAKOTA,35000
1992,MINNESOTA,10000
1992,NORTH DAKOTA,145000
1992,OTHER STATES,1000
1992,SOUTH DAKOTA,15000
1993,MINNESOTA,15000
1993,NORTH DAKOTA,165000
1993,OTHER STATES,6000
1993,SOUTH DAKOTA,20000
1994,MINNESOTA,10000
1994,NORTH DAKOTA,145000
1994,OTHER STATES,3000
1994,SOUTH DAKOTA,20000
1995,MINNESOTA,10000
1995,NORTH DAKOTA,130000
1995,OTHER STATES,3000
1995,SOUTH DAKOTA,22000
1996,MINNESOTA,4000
1996,NORTH DAKOTA,80000
1996,OTHER STATES,2000
1996,SOUTH DAKOTA,10000
1997,MINNESOTA,6000
1997,NORTH DAKOTA,125000
1997,OTHER STATES,5000
1997,SOUTH DAKOTA,15000
1998,MINNESOTA,30000
1998,NORTH DAKOTA,280000
1998,OTHER STATES,11000
1998,SOUTH DAKOTA,15000
1999,MINNESOTA,13000
1999,MONTANA,21000
1999,NORTH DAKOTA,330000
1999,OTHER STATES,22000
1999,SOUTH DAKOTA,22000
2000,MINNESOTA,10000
2000,MONTANA,16000
2000,NORTH DAKOTA,490000
2000,SOUTH DAKOTA,20000
2001,MINNESOTA,4000
2001,MONTANA,14000
2001,NORTH DAKOTA,550000
2001,SOUTH DAKOTA,17000
2002,MINNESOTA,5000
2002,MONTANA,17000
2002,NORTH DAKOTA,750000
2002,SOUTH DAKOTA,12000
2003,MINNESOTA,8000
2003,MONTANA,17000
2003,NORTH DAKOTA,560000
2003,SOUTH DAKOTA,10000
2004,MINNESOTA,3000
2004,MONTANA,20000
2004,NORTH DAKOTA,490000
2004,SOUTH DAKOTA,10000
2005,MINNESOTA,13000
2005,MONTANA,55000
2005,NORTH DAKOTA,890000
2005,SOUTH DAKOTA,25000
2006,MINNESOTA,8000
2006,MONTANA,35000
2006,NORTH DAKOTA,750000
2006,SOUTH DAKOTA,20000
2007,MINNESOTA,4000
2007,MONTANA,21000
2007,NORTH DAKOTA,320000
2007,SOUTH DAKOTA,9000
2008,MINNESOTA,3000
2008,MONTANA,9000
2008,NORTH DAKOTA,335000
2008,SOUTH DAKOTA,7000
2009,MINNESOTA,3000
2009,MONTANA,11000
2009,NORTH DAKOTA,295000
2009,SOUTH DAKOTA,8000
2010,MINNESOTA,4000
2010,MONTANA,15000
2010,NORTH DAKOTA,390000
2010,SOUTH DAKOTA,12000
2011,MINNESOTA,3000
2011,MONTANA,17000
2011,NORTH DAKOTA,150000
2011,SOUTH DAKOTA,8000
2012,MINNESOTA,3000
2012,MONTANA,18000
2012,NORTH DAKOTA,320000
2012,SOUTH DAKOTA,8000
2013,MINNESOTA,4000
2013,MONTANA,20000
2013,NORTH DAKOTA,150000
2013,SOUTH DAKOTA,7000
2014,MINNESOTA,2000
2014,MONTANA,28000
2014,NORTH DAKOTA,275000
2014,SOUTH DAKOTA,6000
2015,MINNESOTA,3000
2015,MONTANA,31000
2015,NORTH DAKOTA,410000
2015,SOUTH DAKOTA,19000
2016,MONTANA,29000
2016,NORTH DAKOTA,335000
2016,SOUTH DAKOTA,10000
2017,MONTANA,52000
2017,NORTH DAKOTA,245000
2017,SOUTH DAKOTA,6000
2018,MONTANA,39000
2018,NORTH DAKOTA,165000
2018,SOUTH DAKOTA,4000
2019,MONTANA,99000
2019,NORTH DAKOTA,275000
2020,MONTANA,105000
2020,NORTH DAKOTA,200000
2021,MONTANA,140000
2021,NORTH DAKOTA,250000
1990,MINNESOTA,"15,000"
1990,NORTH DAKOTA,"220,000"
1990,SOUTH DAKOTA,"25,000"
