Year,State,AllPeas
2021,IDAHO,31000
2021,MONTANA,560000
2021,NEBRASKA,29000
2021,NORTH DAKOTA,255000
2021,OTHER STATES,0
2021,SOUTH DAKOTA,26000
2021,WASHINGTON,69000
2020,IDAHO,35000
2020,MONTANA,490000
2020,NEBRASKA,36000
2020,NORTH DAKOTA,330000
2020,OTHER STATES,0
2020,SOUTH DAKOTA,29000
2020,WASHINGTON,79000
2019,IDAHO,28000
2019,MONTANA,530000
2019,NEBRASKA,31000
2019,NORTH DAKOTA,425000
2019,SOUTH DAKOTA,16000
2019,WASHINGTON,72000
2018,IDAHO,9400
2018,MONTANA,347000
2018,NEBRASKA,58000
2018,NORTH DAKOTA,375000
2018,OREGON,9500
2018,OTHER STATES,0
2018,SOUTH DAKOTA,22000
2018,WASHINGTON,52000
2017,IDAHO,17000
2017,MONTANA,545000
2017,NEBRASKA,58000
2017,NORTH DAKOTA,425000
2017,OREGON,9500
2017,OTHER STATES,0
2017,SOUTH DAKOTA,38000
2017,WASHINGTON,61000
2016,IDAHO,47000
2016,MONTANA,625000
2016,NEBRASKA,55000
2016,NORTH DAKOTA,560000
2016,OREGON,11000
2016,OTHER STATES,0
2016,SOUTH DAKOTA,32000
2016,WASHINGTON,90000
2015,IDAHO,64000
2015,MONTANA,610000
2015,NORTH DAKOTA,385000
2015,OREGON,13000
2015,WASHINGTON,105000
2014,IDAHO,55000
2014,MONTANA,537000
2014,NORTH DAKOTA,265000
2014,OREGON,12000
2014,WASHINGTON,90000
2013,IDAHO,42000
2013,MONTANA,450000
2013,NORTH DAKOTA,295000
2013,OREGON,11000
2013,WASHINGTON,80000
2012,IDAHO,32500
2012,MONTANA,326000
2012,NORTH DAKOTA,235000
2012,OREGON,10000
2012,WASHINGTON,65000
2011,IDAHO,22000
2011,MONTANA,200000
2011,NORTH DAKOTA,85000
2011,OREGON,7000
2011,WASHINGTON,66000
2010,IDAHO,42000
2010,MONTANA,236000
2010,NORTH DAKOTA,430000
2010,OREGON,11200
2010,WASHINGTON,68000
2009,IDAHO,50000
2009,MONTANA,250000
2009,NORTH DAKOTA,490000
2009,OREGON,8800
2009,WASHINGTON,85000
2008,IDAHO,42000
2008,MONTANA,255000
2008,NORTH DAKOTA,520000
2008,OREGON,8000
2008,WASHINGTON,75000
2007,IDAHO,31000
2007,MONTANA,255000
2007,NORTH DAKOTA,515000
2007,OREGON,8500
2007,WASHINGTON,67000
2006,IDAHO,39000
2006,MONTANA,242000
2006,NORTH DAKOTA,610000
2006,OREGON,13500
2006,WASHINGTON,67000
2005,IDAHO,58000
2005,MONTANA,160000
2005,NORTH DAKOTA,540000
2005,OREGON,12500
2005,WASHINGTON,80000
2004,IDAHO,72500
2004,MONTANA,82000
2004,NORTH DAKOTA,310000
2004,OREGON,10000
2004,WASHINGTON,88000
2003,IDAHO,65000
2003,MONTANA,42500
2003,NORTH DAKOTA,160000
2003,OREGON,8100
2003,WASHINGTON,83000
2002,IDAHO,52000
2002,MONTANA,41500
2002,NORTH DAKOTA,155000
2002,OREGON,7300
2002,WASHINGTON,76000
2001,IDAHO,28500
2001,MONTANA,35900
2001,NORTH DAKOTA,90000
2001,OREGON,6700
2001,WASHINGTON,62000
2000,IDAHO,29000
2000,MONTANA,24500
2000,NORTH DAKOTA,66000
2000,OREGON,5200
2000,WASHINGTON,65000
1999,IDAHO,59000
1999,MONTANA,33500
1999,NORTH DAKOTA,64000
1999,OREGON,1500
1999,OTHER STATES,3600
1999,WASHINGTON,110000
1998,IDAHO,77000
1998,MONTANA,45000
1998,NORTH DAKOTA,100000
1998,OREGON,1000
1998,OTHER STATES,1400
1998,WASHINGTON,108000
1997,IDAHO,82500
1997,OREGON,1200
1997,OTHER STATES,102600
1997,WASHINGTON,126000
1996,IDAHO,69000
1996,OREGON,600
1996,OTHER STATES,45900
1996,WASHINGTON,109000
1995,IDAHO,80000
1995,OREGON,900
1995,OTHER STATES,28400
1995,WASHINGTON,112000
1994,IDAHO,55000
1994,OREGON,1000
1994,WASHINGTON,82000
1993,IDAHO,62000
1993,OREGON,1000
1993,WASHINGTON,99000
1991,IDAHO,92000
1991,OREGON,1000
1991,WASHINGTON,110000
1990,IDAHO,70000
1990,OREGON,1500
1990,WASHINGTON,108000
1992,OTHER STATES,0
